pc,asm,fetch,predecode,decode,dispatch,issue,readOp,exe,exe1,exe2,wb,retire,is_branch,
0x80000000,"addi a8, a0, 0",0,1,2,53,54,1,56,57,1,1,58,59,60,0
0x80000004,"auipc a2, 36864",0,1,2,53,54,1,56,57,1,1,58,59,60,0
0x80000008,"addi a2, a2, -4",60,1,2,53,55,1,57,58,1,1,59,60,61,0
0x8000000c,"jal a1, 3",60,1,2,53,55,1,57,58,1,1,59,60,61,1
0x80000874,"addi a2, a2, -16",61,53,54,109,110,1,112,113,1,1,114,115,116,0
0x80000878,"sw a1, 12(a2)",116,53,54,109,110,1,1,115,116,1,117,118,119,0
0x8000087c,"lui a11, -2147479552",119,53,54,109,111,1,113,114,1,1,115,116,120,0
0x80000880,"addi a11, a11, -1808",120,54,109,164,165,1,167,168,1,1,169,170,171,0
0x80000884,"addi a10, a0, 2",120,54,109,164,165,1,167,168,1,1,169,170,171,0
0x80000888,"jal a1, 125",171,54,109,164,166,1,168,169,1,1,170,171,172,1
0x80000840,"addi a2, a2, -16",172,164,165,166,167,1,169,170,1,1,171,172,173,0
0x80000844,"sw a1, 12(a2)",173,164,165,166,167,1,1,172,173,1,174,175,176,0
0x80000848,"jal a1, 111",176,164,165,166,168,1,170,171,1,1,172,173,177,1
0x80000640,"addi a2, a2, -288",177,166,167,254,255,1,257,258,1,1,259,260,261,0
0x80000644,"sw a1, 284(a2)",261,166,167,254,255,1,1,260,261,1,262,263,264,0
0x80000648,"sw a8, 280(a2)",264,166,167,254,256,1,1,261,262,1,263,264,265,0
0x8000064c,"sw a9, 276(a2)",265,166,167,254,256,1,1,262,263,1,264,265,266,0
0x80000650,"lui a8, 32768",266,167,254,255,257,1,259,260,1,1,261,262,267,0
0x80000654,"addi a10, a2, 160",266,167,254,255,257,1,259,260,1,1,261,262,267,0
0x80000658,"addi a8, a8, -1",267,167,254,255,258,1,260,261,1,1,262,263,268,0
0x8000065c,"sw a8, 148(a2)",267,167,254,255,258,1,1,263,264,1,265,266,268,0
0x80000660,"sw a0, 152(a2)",268,254,255,257,259,1,1,264,265,1,271,272,273,0
0x80000664,"addi a9, a2, 280",273,254,255,257,259,1,261,262,1,1,263,264,274,0
0x80000668,"sw a0, -4(a10)",273,254,255,257,260,1,1,265,271,1,272,273,274,0
0x8000066c,"sw a0, 0(a10)",274,254,255,257,260,1,1,271,272,1,275,276,277,0
0x80000670,"addi a10, a10, 8",277,255,257,259,261,1,264,265,1,1,266,267,278,0
0x80000674,"bne a10, a9, -12",277,255,257,259,261,1,265,266,1,1,267,268,278,1
0x80000668,"sw a0, -4(a10)",278,259,319,320,321,1,1,324,325,1,359,360,361,0
0x8000066c,"sw a0, 0(a10)",361,259,319,320,321,1,1,325,359,1,362,363,364,0
0x80000670,"addi a10, a10, 8",364,319,320,321,322,1,324,325,1,1,326,327,365,0
0x80000674,"bne a10, a9, -12",364,319,320,321,322,1,325,326,1,1,327,328,365,1
0x80000668,"sw a0, -4(a10)",365,320,321,322,323,1,1,362,363,1,364,365,366,0
0x8000066c,"sw a0, 0(a10)",366,320,321,322,323,1,1,363,364,1,366,367,368,0
0x80000670,"addi a10, a10, 8",368,321,322,323,324,1,326,327,1,1,328,329,369,0
